Customer_ID,Age,Gender,Income,Marital_Status,Education,Occupation,Location,Annual_Spending,Purchase_Frequency,Average_Order_Value,Product_Category_Preference,Last_Purchase_Days,Online_Purchases,Store_Purchases
CUST-00001,35,Male,72135.35,Married,High School,Technician,Suburban,874.73,1,844.55,Fashion,364,0,0
CUST-00002,48,Female,68961.75,Divorced,Master,Professional,Urban,3823.54,32,136.09,Sports,124,14,16
CUST-00003,42,Male,109738.28,Single,High School,Technician,Urban,5847.8,37,190.4,Fashion,67,33,3
CUST-00004,31,Female,39065.31,Married,Master,Service,Urban,1794.61,13,166.51,Groceries,104,5,8
CUST-00005,47,Female,130393.49,Single,Master,Manager,Urban,10661.64,40,268.4,Beauty,30,20,19
CUST-00006,22,Male,87727.65,Married,Bachelor,Technician,Suburban,7543.67,35,219.98,Electronics,45,25,9
CUST-00007,57,Female,67152.45,Married,High School,Manager,Urban,1727.74,1,1420.16,Home,304,0,0
CUST-00008,20,Female,76602.92,Divorced,Master,Service,Rural,120.0,8,15.0,Groceries,256,1,8
CUST-00009,57,Female,132979.72,Married,Bachelor,Technician,Urban,13696.8,48,258.02,Fashion,26,22,25
CUST-00010,36,Female,70890.05,Single,,Professional,Urban,3922.59,20,163.13,Fashion,40,13,9
CUST-00011,34,Female,69334.08,Single,High School,Manager,Urban,4817.15,20,179.47,Home,115,10,12
CUST-00012,19,Male,94952.57,Married,Bachelor,Service,Urban,6119.99,37,177.45,Fashion,1,31,7
CUST-00013,37,Male,52160.07,Married,Bachelor,Student,Urban,1930.53,8,212.96,Sports,174,2,4
CUST-00014,55,Male,33935.39,Married,Bachelor,Technician,Urban,1649.05,7,217.38,Groceries,321,0,6
CUST-00015,29,Male,72547.34,Divorced,High School,Retired,Urban,5252.57,18,318.33,Groceries,169,9,10
CUST-00016,45,Female,75150.61,Married,High School,Entrepreneur,Suburban,3721.0,21,151.74,Fashion,163,10,11
CUST-00017,28,Male,56214.31,Married,High School,Manager,Urban,1561.52,8,198.83,Fashion,145,4,3
