Customer_ID,Assigned_Segment,Cluster
CUST-00001,At-Risk Customers,0
CUST-00002,Occasional Buyers,1
CUST-00003,Occasional Buyers,1
CUST-00004,Budget Shoppers,2
CUST-00005,Premium Loyalists,3
CUST-00006,Occasional Buyers,1
CUST-00007,At-Risk Customers,0
CUST-00008,Budget Shoppers,2
CUST-00009,Premium Loyalists,3
CUST-00010,Occasional Buyers,1
CUST-00011,Occasional Buyers,1
CUST-00012,Occasional Buyers,1
CUST-00013,Budget Shoppers,2
CUST-00014,Budget Shoppers,2
CUST-00015,Budget Shoppers,2
CUST-00016,Budget Shoppers,2
CUST-00017,Budget Shoppers,2
CUST-00018,Premium Loyalists,3
CUST-00019,Budget Shoppers,2
CUST-00020,Budget Shoppers,2
CUST-00021,Budget Shoppers,2
CUST-00022,Occasional Buyers,1
CUST-00023,Occasional Buyers,1
CUST-00024,Occasional Buyers,1
CUST-00025,Budget Shoppers,2
CUST-00026,Budget Shoppers,2
CUST-00027,Occasional Buyers,1
CUST-00028,Premium Loyalists,3
CUST-00029,Premium Loyalists,3
CUST-00030,Budget Shoppers,2
CUST-00031,Budget Shoppers,2
CUST-00032,Occasional Buyers,1
CUST-00033,Occasional Buyers,1
CUST-00034,Budget Shoppers,2
CUST-00035,Occasional Buyers,1
CUST-00036,Budget Shoppers,2
CUST-00037,Premium Loyalists,3
CUST-00038,Occasional Buyers,1
CUST-00039,Occasional Buyers,1
CUST-00040,Budget Shoppers,2
CUST-00041,Occasional Buyers,1
CUST-00042,Budget Shoppers,2
CUST-00043,Budget Shoppers,2
CUST-00044,Occasional Buyers,1
CUST-00045,Budget Shoppers,2
CUST-00046,Budget Shoppers,2
CUST-00047,Occasional Buyers,1
CUST-00048,Occasional Buyers,1
CUST-00049,Budget Shoppers,2
CUST-00050,Premium Loyalists,3
CUST-00051,Occasional Buyers,1
CUST-00052,Premium Loyalists,3
CUST-00053,Budget Shoppers,2
CUST-00054,Budget Shoppers,2
CUST-00055,Budget Shoppers,2
CUST-00056,Budget Shoppers,2
CUST-00057,Occasional Buyers,1
CUST-00058,Budget Shoppers,2
CUST-00059,Occasional Buyers,1
CUST-00060,Premium Loyalists,3
CUST-00061,Budget Shoppers,2
CUST-00062,Occasional Buyers,1
CUST-00063,Budget Shoppers,2
CUST-00064,Budget Shoppers,2
CUST-00065,Budget Shoppers,2
CUST-00066,Budget Shoppers,2
CUST-00067,Occasional Buyers,1
CUST-00068,Occasional Buyers,1
CUST-00069,Premium Loyalists,3
CUST-00070,Occasional Buyers,1
CUST-00071,Occasional Buyers,1
CUST-00072,Occasional Buyers,1
CUST-00073,Occasional Buyers,1
CUST-00074,Occasional Buyers,1
CUST-00075,Premium Loyalists,3
CUST-00076,Occasional Buyers,1
CUST-00077,Occasional Buyers,1
CUST-00078,Budget Shoppers,2
CUST-00079,Budget Shoppers,2
CUST-00080,Budget Shoppers,2
CUST-00081,Budget Shoppers,2
CUST-00082,Occasional Buyers,1
CUST-00083,Budget Shoppers,2
CUST-00084,Premium Loyalists,3
CUST-00085,Premium Loyalists,3
CUST-00086,Premium Loyalists,3
CUST-00087,Budget Shoppers,2
CUST-00088,Budget Shoppers,2
CUST-00089,Premium Loyalists,3
CUST-00090,Budget Shoppers,2
CUST-00091,Premium Loyalists,3
CUST-00092,Budget Shoppers,2
CUST-00093,Occasional Buyers,1
CUST-00094,Occasional Buyers,1
CUST-00095,Occasional Buyers,1
CUST-00096,Occasional Buyers,1
CUST-00097,Occasional Buyers,1
CUST-00098,Premium Loyalists,3
CUST-00099,Premium Loyalists,3
CUST-00100,Occasional Buyers,1
CUST-00101,Occasional Buyers,1
CUST-00102,Budget Shoppers,2
CUST-00103,Occasional Buyers,1
CUST-00104,Occasional Buyers,1
CUST-00105,Budget Shoppers,2
CUST-00106,Budget Shoppers,2
CUST-00107,Occasional Buyers,1
CUST-00108,Budget Shoppers,2
CUST-00109,Premium Loyalists,3
CUST-00110,Occasional Buyers,1
CUST-00111,Occasional Buyers,1
CUST-00112,Occasional Buyers,1
CUST-00113,Occasional Buyers,1
CUST-00114,Budget Shoppers,2
CUST-00115,Premium Loyalists,3
CUST-00116,Occasional Buyers,1
CUST-00117,Budget Shoppers,2
CUST-00118,Budget Shoppers,2
CUST-00119,Occasional Buyers,1
CUST-00120,Budget Shoppers,2
CUST-00121,Budget Shoppers,2
CUST-00122,Budget Shoppers,2
CUST-00123,Premium Loyalists,3
CUST-00124,Occasional Buyers,1
CUST-00125,Premium Loyalists,3
CUST-00126,Budget Shoppers,2
CUST-00127,Occasional Buyers,1
CUST-00128,Premium Loyalists,3
CUST-00129,Premium Loyalists,3
CUST-00130,Budget Shoppers,2
CUST-00131,Premium Loyalists,3
CUST-00132,Occasional Buyers,1
CUST-00133,Budget Shoppers,2
CUST-00134,Occasional Buyers,1
CUST-00135,Budget Shoppers,2
CUST-00136,Premium Loyalists,3
CUST-00137,Occasional Buyers,1
CUST-00138,Budget Shoppers,2
CUST-00139,Budget Shoppers,2
CUST-00140,Premium Loyalists,3
CUST-00141,Budget Shoppers,2
CUST-00142,Budget Shoppers,2
CUST-00143,Occasional Buyers,1
CUST-00144,Budget Shoppers,2
CUST-00145,Occasional Buyers,1
CUST-00146,Occasional Buyers,1
CUST-00147,Occasional Buyers,1
CUST-00148,Budget Shoppers,2
CUST-00149,Occasional Buyers,1
CUST-00150,Premium Loyalists,3
CUST-00151,Budget Shoppers,2
CUST-00152,Occasional Buyers,1
CUST-00153,Premium Loyalists,3
CUST-00154,Budget Shoppers,2
CUST-00155,Premium Loyalists,3
CUST-00156,Budget Shoppers,2
CUST-00157,Occasional Buyers,1
CUST-00158,Budget Shoppers,2
CUST-00159,Budget Shoppers,2
CUST-00160,Budget Shoppers,2
CUST-00161,Premium Loyalists,3
CUST-00162,Occasional Buyers,1
CUST-00163,Occasional Buyers,1
CUST-00164,Premium Loyalists,3
CUST-00165,Budget Shoppers,2
CUST-00166,Budget Shoppers,2
CUST-00167,Budget Shoppers,2
CUST-00168,Budget Shoppers,2
CUST-00169,Occasional Buyers,1
CUST-00170,Premium Loyalists,3
CUST-00171,Occasional Buyers,1
CUST-00172,Budget Shoppers,2
CUST-00173,Occasional Buyers,1
CUST-00174,Occasional Buyers,1
CUST-00175,Premium Loyalists,3
CUST-00176,Premium Loyalists,3
CUST-00177,Occasional Buyers,1
CUST-00178,Occasional Buyers,1
CUST-00179,Occasional Buyers,1
CUST-00180,At-Risk Customers,0
CUST-00181,Premium Loyalists,3
CUST-00182,Occasional Buyers,1
CUST-00183,Budget Shoppers,2
CUST-00184,Occasional Buyers,1
CUST-00185,Budget Shoppers,2
CUST-00186,Occasional Buyers,1
CUST-00187,Occasional Buyers,1
CUST-00188,Premium Loyalists,3
CUST-00189,Budget Shoppers,2
CUST-00190,Occasional Buyers,1
CUST-00191,Occasional Buyers,1
CUST-00192,Occasional Buyers,1
CUST-00193,Premium Loyalists,3
CUST-00194,Budget Shoppers,2
CUST-00195,Premium Loyalists,3
CUST-00196,Premium Loyalists,3
CUST-00197,Budget Shoppers,2
CUST-00198,Occasional Buyers,1
CUST-00199,Occasional Buyers,1
CUST-00200,Occasional Buyers,1
CUST-00201,Budget Shoppers,2
CUST-00202,Occasional Buyers,1
CUST-00203,Budget Shoppers,2
CUST-00204,Premium Loyalists,3
CUST-00205,Premium Loyalists,3
CUST-00206,Occasional Buyers,1
CUST-00207,Premium Loyalists,3
CUST-00208,Budget Shoppers,2
CUST-00209,Premium Loyalists,3
CUST-00210,Budget Shoppers,2
